State-Year,State,Year,background_checks_q2_neighbors,criminals_q2_neighbors,criminals_q3_neighbors,criminals_q4_neighbors,criminals_q5_neighbors,criminals_q7_neighbors,criminals_q8_neighbors,criminals_q9_neighbors,domestic_violence_q1_neighbors,domestic_violence_q2_neighbors,domestic_violence_q4_neighbors,domestic_violence_q5_neighbors,domestic_violence_q7_neighbors,domestic_violence_q9_neighbors,domestic_violence_q11_neighbors,domestic_violence_q12_neighbors,domestic_violence_q13_neighbors,domestic_violence_q14_neighbors,domestic_violence_q15_neighbors,domestic_violence_q16_neighbors,domestic_violence_q17_neighbors,drugs_and_alcohol_q1_neighbors,drugs_and_alcohol_q2_neighbors,drugs_and_alcohol_q3_neighbors,drugs_and_alcohol_q4_neighbors,drugs_and_alcohol_q7_neighbors,drugs_and_alcohol_q8_neighbors,drugs_and_alcohol_q9_neighbors,drugs_and_alcohol_q10_neighbors,drugs_and_alcohol_q11_neighbors,drugs_and_alcohol_q12_neighbors,mental_illness_q1_neighbors,mental_illness_q2_neighbors,mental_illness_q3_neighbors,mental_illness_q4_neighbors,mental_illness_q5_neighbors,mental_illness_q6_neighbors,mental_illness_q7_neighbors,mental_illness_q8_neighbors,mental_illness_q9_neighbors,mental_illness_q10_neighbors,mental_illness_q11_neighbors,mental_illness_q12_neighbors,minimum_age_q1_neighbors,minimum_age_q2_neighbors,minimum_age_q3_neighbors,minimum_age_q4_neighbors,permitting_process_q1_neighbors,permitting_process_q2_neighbors,permitting_process_q3_neighbors,permitting_process_q5_neighbors,permitting_process_q6_neighbors,permitting_process_q7_neighbors,permitting_process_q8_neighbors,permitting_process_q9_neighbors,permitting_process_q10_neighbors,permitting_process_q12_neighbors,permitting_process_q13_neighbors,other_q1_neighbors,other_q2_neighbors,other_q3_neighbors,other_q4_neighbors,other_q5_neighbors,other_q6_neighbors,other_q7_neighbors,other_q8_neighbors,other_q9_neighbors
Massachusetts 1991,Massachusetts,1991,0.6,2.8,0.0,0.4,0.0,0.8,3.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.7,0.0,0.0,0.4,0.8,0.0,0.0,0.8,0.8,0.8,0.0,0.8,0.8,1.2,1.2,0.2,1.2,1.2,0.8,0.8,0.0,1.2,1.6,1.6,0.8,2.4,4.0,1.6,2.4,0.0,3.2,0.8,3.2,2.4,1.6,1.6,1.6,0.8,3.6,2.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,1.2
Michigan 1991,Michigan,1991,0.3333333333333333,4.0,1.3333333333333333,0.0,0.0,4.0,8.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.0,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,0.0,4.0,2.6666666666666665,0.0,4.0,2.6666666666666665,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,0.0,2.6666666666666665,4.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,4.0,2.6666666666666665,4.0,2.6666666666666665,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.0,2.6666666666666665,2.6666666666666665,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333
Minnesota 1991,Minnesota,1991,0.25,5.0,0.0,1.0,0.0,4.0,8.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Mississippi 1991,Mississippi,1991,0.0,3.5,0.0,0.25,0.0,2.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Missouri 1991,Missouri,1991,0.5,5.25,0.125,0.5,0.0,3.5,7.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.125,0.0,0.75,0.0,3.0,3.0,0.5,3.0,3.0,0.5,1.125,1.125,0.125,0.625,0.625,0.125,0.625,0.0,0.0,3.0,3.0,0.0,1.5,3.0,0.5,2.5,3.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,0.0,2.5,2.5,0.0,0.0,0.375,0.125,0.125,0.125,0.0,3.0,1.5
Montana 1991,Montana,1991,0.0,2.5,0.0,1.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska 1991,Nebraska,1991,0.3333333333333333,4.166666666666667,0.0,0.0,0.0,2.6666666666666665,5.333333333333333,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,2.0,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,4.0,2.0,2.0,3.3333333333333335,1.3333333333333333,0.6666666666666666,2.0,0.0,3.0,2.3333333333333335,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666
Nevada 1991,Nevada,1991,0.4,4.8,0.0,0.8,0.0,4.0,8.0,0.6,0.8,0.0,0.4,0.0,0.8,0.0,0.0,2.4,0.8,0.8,1.6,0.0,0.8,0.0,0.0,0.8,0.0,2.4,0.8,1.6,2.4,0.8,0.8,2.4,2.4,0.8,1.6,1.6,0.8,0.8,0.0,0.8,1.6,0.8,0.8,2.4,4.0,1.6,4.0,0.8,4.0,1.6,3.2,1.6,2.4,2.4,1.6,2.4,3.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4
New Hampshire 1991,New Hampshire,1991,0.6666666666666666,4.0,0.0,1.3333333333333333,0.0,1.3333333333333333,5.333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,1.3333333333333333,2.6666666666666665,0.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,3.3333333333333335,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0
New Jersey 1991,New Jersey,1991,0.3333333333333333,4.333333333333333,0.0,2.0,0.0,4.0,8.0,0.0,0.6666666666666666,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.5,1.3333333333333333,1.3333333333333333,2.0,0.0,0.0,0.0,4.0,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,2.0,2.0,0.3333333333333333,2.0,2.0,0.0,0.0,0.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.3333333333333333,4.0,1.3333333333333333,4.0,0.0,4.0,0.0,4.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,4.0,1.3333333333333333,4.0,2.6666666666666665,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
