question,state,year,applies to,response,citations,cautions
Does state law prohibit fugitives from having firearms?,WA,1993,All,0,,
Does state law prohibit fugitives from having firearms?,CA,1993,All,0,,
Does state law prohibit fugitives from having firearms?,NV,1993,All,0,,
Does state law prohibit fugitives from having firearms?,ID,1993,All,0,,
Does state law prohibit fugitives from having firearms?,UT,1993,All,0,,
Does state law prohibit fugitives from having firearms?,AZ,1993,All,0,,
Does state law prohibit fugitives from having firearms?,MT,1993,All,0,,
Does state law prohibit fugitives from having firearms?,WY,1993,All,0,,
Does state law prohibit fugitives from having firearms?,NM,1993,All,0,,
Does state law prohibit fugitives from having firearms?,CO,1993,All,0,,
